shot_number,prep_duration,shot_duration,release_angle,max_hand_speed,avg_elbow_angle,std_elbow_angle,release_height,motion_smoothness,trial_number,motion_smoothness_seq,movement_coordination,peak_velocity,velocity_consistency
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.1515151515151515,0.0909090909090909,0.015151515151515148,0.12121212121212119,0.07575757575757575,0.10606060606060604,0.07575757575757575,0.04545454545454545,0.015151515151515148,0.07575757575757575,0.10606060606060604,0.07575757575757575,0.04545454545454545
38,0.171875,0.037109375,0.041015625,0.125,0.041015625,0.10286458333333334,0.05533854166666666,0.015625,0.03125,0.134765625,0.171875,0.03125,0.041015625
39,0.049632352941176475,0.04411764705882354,0.05780228758169935,0.14154411764705885,0.04125816993464053,0.07741013071895426,0.1149918300653595,0.06433823529411765,0.014705882352941178,0.1470588235294118,0.1911764705882353,0.026552287581699353,0.029411764705882356
40,0.0757716049382716,0.052314814814814814,0.16790123456790124,0.12962962962962962,0.10540123456790124,0.05771604938271605,0.07160493827160494,0.026080246913580244,0.027160493827160497,0.03950617283950618,0.1595679012345679,0.027160493827160497,0.06018518518518519
41,0.045101553166069286,0.026284348864994027,0.15173237753882915,0.09796893667861409,0.09154719235364397,0.043010752688172046,0.0908004778972521,0.06929510155316607,0.043010752688172046,0.08900836320191158,0.15845280764635603,0.04181600955794504,0.05197132616487456
42,0.0,0.029411764705882353,0.08823529411764706,0.11764705882352941,0.14705882352941177,0.14705882352941177,0.09375,0.08823529411764706,0.014705882352941176,0.14154411764705882,0.1323529411764706,0.0,0.0
43,0.04477611940298508,0.04477611940298508,0.10447761194029852,0.11940298507462688,0.10447761194029852,0.08955223880597016,0.16417910447761197,0.05970149253731344,0.02985074626865672,0.11940298507462688,0.0746268656716418,0.04477611940298508,0.0
44,0.1830985915492958,0.05027386541471048,0.07042253521126762,0.03599374021909234,0.06259780907668233,0.0903755868544601,0.08294209702660409,0.08705007824726135,0.13556338028169018,0.07863849765258218,0.05888106416275431,0.04381846635367763,0.020344287949921755
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
